jsfx_slider,vst3_id,jsfx_name,ui_name,default,minimum,maximum,step,choices,page,source_occurrences
108,slider108,Snare Drive,Snare Drive,50,0,1000,1,,Snare 1,10
109,slider109,Low Tom Wave Morph,Low Tom Wave Morph,0,0,1,0.01,,Toms,7
110,slider110,Mid Tom Wave Morph,Mid Tom Wave Morph,0,0,1,0.01,,Toms,7
111,slider111,High Tom Wave Morph,High Tom Wave Morph,0,0,1,0.01,,Toms,7
112,slider112,Ride Pitch Relax,Ride Pitch Relax,0.47999999999999998,0,1,0.01,,Cymbal,7
113,slider113,Ride Relax Speed,Ride Relax Speed,0.35000000000000003,0,1,0.01,,Cymbal,7
114,slider114,HiHat Metal2,HiHat Metal2,0,0,1,0.01,,HiHat,19
115,slider115,HiHat Tune,HiHat Tune,0.5,-2,2,0.001,,HiHat,7
116,slider116,Snare Body Mid,Snare Body Mid,0,0,1,0.01,,Snare 1,10
117,slider117,Snare Body High,Snare Body High,0,0,1,0.01,,Snare 1,9
118,slider118,Low Tom Saturation,Low Tom Saturation,0,0,100,0.1,,Toms,9
119,slider119,Mid Tom Saturation,Mid Tom Saturation,0,0,100,0.01,,Toms,9
120,slider120,High Tom Saturation,High Tom Saturation,0,0,100,0.1,,Toms,9
121,slider121,Low Tom Noise Decay,Low Tom Noise Decay,1,0,4,0.01,,Toms,7
122,slider122,Mid Tom Noise Decay,Mid Tom Noise Decay,1,0,4,0.01,,Toms,7
123,slider123,High Tom Noise Decay,High Tom Noise Decay,1,0,4,0.01,,Toms,7
124,slider124,Rim Second Mode Level,Rim Second Mode Level,5,0,6,0.01,,Rim,6
125,slider125,Rim Second Mode Tune,Rim Second Mode Tune,2.6285714285714286,0,4,0.001,,Rim,6
126,slider126,ZAP LFO Frequency,ZAP LFO Frequency,16,1,1024,0.125,,Zap,8
127,slider127,ZAP LFO Pitch Depth,ZAP LFO Pitch Depth,5,0,20,0.01,,Zap,12
128,slider128,ZAP LFO Wave,ZAP LFO Wave,3,0,5,1,"Sine,Triangle,Saw Up,Saw Down,PWM,SampleHold",Zap,19
129,slider129,ZAP LFO Smooth,ZAP LFO Smooth,0,0,1,0.001,,Zap,9
130,slider130,ZAP LFO Delay,ZAP LFO Delay,0,0,6,0.01,,Zap,9
131,slider131,ZAP LFO Wave Shape,ZAP LFO Wave Shape,0.5,0.01,0.99,0.01,,Zap,15
132,slider132,Snare Noise Ring Freq,Snare Noise Ring Freq,120,1,1000,1,,Snare 1,10
133,slider133,Snare Noise Ring Depth,Snare Noise Ring Depth,0,-1,1,0.01,,Snare 1,11
134,slider134,Snare Noise Ring Wave,Snare Noise Ring Wave,0,0,11,1,"Sine,Triangle,Saw Up,Saw Down,PWM,SampleHold,Acoustic Deep,Acoustic Ring,Acoustic Trash,Acoustic Skin,Acoustic Plate,Acoustic Hollow",Snare 1,17
135,slider135,Snare Noise Ring Smooth,Snare Noise Ring Smooth,0,0,1,0.001,,Snare 1,11
136,slider136,Snare Noise Ring Delay,Snare Noise Ring Delay,0,0,3,0.01,,Snare 1,12
137,slider137,Snare Noise Ring Wave Shape,Snare Noise Ring Wave Shape,0.5,0.01,0.99,0.01,,Snare 1,11
138,slider138,Kick Body Drive Mix,Kick Body Drive Mix,0.5,0,1,0.01,,Kick,10
139,slider139,Snare Drive Mix,Snare Drive Mix,0.69999999999999996,0,1,0.01,,Snare 1,11
140,slider140,Kick Body Phase,Kick Body Phase,0,-1,1,0.001,,Kick,8
141,slider141,Kick LFO Smooth,Kick LFO Smooth,0,0,1,0.01,,Kick,11
142,slider142,Kick LFO Wave Shape,Kick LFO Wave Shape,0.5,0.01,0.99,0.01,,Kick,8
143,slider143,Rim Tape Delay Mix,Rim Tape Delay Mix,0,0,1,0.01,,Rim,5
144,slider144,Rim Tape Delay Time,Rim Tape Delay Time,0.0078130000000000005,0,0.25,0.0078125,,Rim,5
145,slider145,Rim Tape Delay Tone,Rim Tape Delay Tone,0.5,0,1,0.01,,Rim,5
146,slider146,Rim Tape Delay Resonance,Rim Tape Delay Resonance,0.69999999999999996,0.1,2,0.01,,Rim,5
147,slider147,Rim Tape Delay Feedback,Rim Tape Delay Feedback,0.34999999999999998,0,0.99,0.01,,Rim,5
148,slider148,Kick Click Tone,Kick Click Tone,3,0,6,0.001,,Kick,8
149,slider149,Kick Click Resonance,Kick Click Resonance,0.5,0,1,0.001,,Kick,15
150,slider150,Kick Comp Threshold,Kick Comp Threshold,-18,-60,0,0.1,,Kick,2
151,slider151,Kick Comp Ratio,Kick Comp Ratio,1,0,4,1,"4:1,8:1,12:1,20:1,All",Kick,6
152,slider152,Kick Comp Gain,Kick Comp Gain,0,-24,24,0.1,,Kick,2
153,slider153,Kick Comp Attack (ms),Kick Comp Attack (ms),8,0.1,100,0.1,,Kick,2
154,slider154,Kick Comp Release (ms),Kick Comp Release (ms),80,1,500,1,,Kick,2
155,slider155,Kick Comp Mix,Kick Comp Mix,0,0,100,0.1,,Kick,2
156,slider156,Snare Comp Threshold,Snare Comp Threshold,-18,-60,0,0.1,,Snare 1,5
157,slider157,Snare Comp Ratio,Snare Comp Ratio,1,0,4,1,"4:1,8:1,12:1,20:1,All",Snare 1,9
158,slider158,Snare Comp Gain,Snare Comp Gain,0,-24,24,0.1,,Snare 1,5
159,slider159,Snare Comp Attack (ms),Snare Comp Attack (ms),8,0.1,100,0.1,,Snare 1,5
160,slider160,Snare Comp Release (ms),Snare Comp Release (ms),90,1,500,1,,Snare 1,5
161,slider161,Snare Comp Mix,Snare Comp Mix,0,0,100,0.1,,Snare 1,5
162,slider162,Rim Comp Threshold,Rim Comp Threshold,-16,-60,0,0.1,,Rim,5
163,slider163,Rim Comp Ratio,Rim Comp Ratio,1,0,4,1,"4:1,8:1,12:1,20:1,All",Rim,9
164,slider164,Rim Comp Gain,Rim Comp Gain,0,-24,24,0.1,,Rim,5
165,slider165,Rim Comp Attack (ms),Rim Comp Attack (ms),3,0.1,100,0.1,,Rim,5
166,slider166,Rim Comp Release (ms),Rim Comp Release (ms),60,1,500,1,,Rim,5
167,slider167,Rim Comp Mix,Rim Comp Mix,0,0,100,0.1,,Rim,5
168,slider168,Maracas Level,Maracas Level,5,0,6,0.01,,Maracas,25
169,slider169,Maracas Attack,Maracas Attack,0.01,0,0.05,0.0001,,Maracas,5
170,slider170,Maracas Decay,Maracas Decay,0.18000000000000002,0,0.5,0.0001,,Maracas,6
171,slider171,Maracas Noise Color,Maracas Noise Color,0.5,0,1,0.01,,Maracas,6
172,slider172,Maracas S&H Rate,Maracas S&H Rate,180,20,1000,1,,Maracas,5
173,slider173,Maracas S&H Amount,Maracas S&H Amount,0.55000000000000004,0.01,1,0.01,,Maracas,6
174,slider174,LowTom Comp Threshold,LowTom Comp Threshold,-18,-60,0,0.1,,Toms,5
175,slider175,LowTom Comp Ratio,LowTom Comp Ratio,1,0,4,1,"4:1,8:1,12:1,20:1,All",Toms,9
